TANGGAL;TAVG;RH_AVG;RR
01-01-2020;27,7;84;0
02-01-2020;27,6;83;0
03-01-2020;27,9;81;0
04-01-2020;28,4;84;0
05-01-2020;28,4;86;-
06-01-2020;28,2;80;-
07-01-2020;28,8;78;0
08-01-2020;29;76;-
09-01-2020;26,8;88;0
10-01-2020;25,7;87;150,5
11-01-2020;25,7;86;32,9
12-01-2020;27,3;81;6,5
13-01-2020;27,7;80;2
14-01-2020;28,1;82;12,8
15-01-2020;27,7;85;0
16-01-2020;27,7;88;0
17-01-2020;26,7;92;47,7
18-01-2020;26,7;92;28,8
19-01-2020;27,3;86;8,9
20-01-2020;28,1;86;0
21-01-2020;28,2;83;4,7
22-01-2020;27,7;84;-
23-01-2020;27,6;82;0,7
24-01-2020;27,9;86;0,8
25-01-2020;28,5;85;0,5
26-01-2020;28,7;80;0
27-01-2020;28,3;86;1,5
28-01-2020;27,2;87;0
29-01-2020;26;81;145,6
30-01-2020;26,8;70;-
31-01-2020;27,4;75;0
01-02-2020;27,8;81;0
02-02-2020;28,7;76;0
03-02-2020;29,7;63;-
04-02-2020;27,5;78;0
05-02-2020;27;86;0
06-02-2020;28;77;4
07-02-2020;26,8;90;2
08-02-2020;26,2;86;46,8
09-02-2020;28,1;78;0,2
10-02-2020;27,8;83;0
11-02-2020;28,2;78;2
12-02-2020;28,3;79;-
13-02-2020;27,9;80;-
14-02-2020;26,8;91;2
15-02-2020;27,2;81;121,3
16-02-2020;27,5;82;7,5
17-02-2020;27,2;79;2,4
18-02-2020;27,1;82;15,2
19-02-2020;27,4;81;8888
20-02-2020;27,9;84;0
21-02-2020;28,8;71;0
22-02-2020;28,9;71;-
23-02-2020;30,8;54;0
24-02-2020;29,2;67;0
25-02-2020;28,9;75;0
26-02-2020;28,8;75;0
27-02-2020;29,2;80;0
28-02-2020;28,6;82;0
29-02-2020;29,1;80;8888
01-03-2020;28,5;81;-
02-03-2020;27,9;85;35
03-03-2020;27,5;84;122,5
04-03-2020;28,7;82;-
05-03-2020;28,1;77;-
06-03-2020;28,9;70;3
07-03-2020;29,3;68;0
08-03-2020;28,7;74;0
09-03-2020;28,2;78;15,6
10-03-2020;28,2;72;0
11-03-2020;29,1;70;-
12-03-2020;28,8;78;0
13-03-2020;28,4;78;14,2
14-03-2020;28,6;79;0
15-03-2020;29,2;78;-
16-03-2020;28,7;78;0
17-03-2020;27,8;80;0,5
18-03-2020;27,2;87;28,5
19-03-2020;25,7;91;92,2
20-03-2020;27,1;78;37
21-03-2020;27,9;80;1
22-03-2020;27,7;86;4
23-03-2020;27,2;82;6,6
24-03-2020;28,3;79;0
25-03-2020;28,4;78;8888
26-03-2020;27,6;82;-
27-03-2020;27,5;77;11,5
28-03-2020;27,9;82;1,3
29-03-2020;27,6;82;8888
30-03-2020;27,1;80;2,3
31-03-2020;28,3;75;2
01-04-2020;28,2;74;-
02-04-2020;28,9;74;0
03-04-2020;28,9;75;0
04-04-2020;28,7;83;1
05-04-2020;27,5;82;23
06-04-2020;25,6;91;20
07-04-2020;27,1;78;81,5
08-04-2020;28,2;83;4,6
09-04-2020;28,2;77;-
10-04-2020;27,2;84;7,5
11-04-2020;27,9;83;9,9
12-04-2020;27,9;84;1,5
13-04-2020;28,1;83;5,7
14-04-2020;27,8;82;1,5
15-04-2020;28;80;0,1
16-04-2020;27,1;90;0,2
17-04-2020;27,1;87;7,4
18-04-2020;27,7;85;5,5
19-04-2020;28,6;82;-
20-04-2020;28,4;82;4,6
21-04-2020;28,3;84;0,2
22-04-2020;29;82;0
23-04-2020;28;84;1
24-04-2020;27,8;84;4
25-04-2020;27,6;85;23
27-04-2020;27,3;82;12,9
28-04-2020;27,8;82;5,4
29-04-2020;28,3;75;-
30-04-2020;27,2;90;7,4
01-05-2020;25,4;92;66,7
02-05-2020;26,7;86;78
03-05-2020;27,3;84;51,4
04-05-2020;28,4;77;5,1
05-05-2020;29;74;0
06-05-2020;28,5;78;22,2
07-05-2020;27,4;88;28,1
08-05-2020;28,5;78;7,6
09-05-2020;27,6;83;51
10-05-2020;28,1;81;0,7
11-05-2020;28,2;79;-
12-05-2020;28,1;79;0
13-05-2020;28,2;83;39,2
14-05-2020;28,6;80;-
15-05-2020;28,8;84;0
16-05-2020;28,9;84;2
17-05-2020;26,4;93;0,6
18-05-2020;28,1;80;83
19-05-2020;29,2;72;-
20-05-2020;28,2;71;15,2
21-05-2020;29,3;69;-
22-05-2020;29,1;66;0
23-05-2020;27,7;77;4
24-05-2020;28,1;74;8888
25-05-2020;28,4;74;0
26-05-2020;26,4;85;0,2
27-05-2020;27,5;75;3,2
28-05-2020;27,8;79;0
29-05-2020;27,9;78;0
30-05-2020;28,5;81;-
31-05-2020;27,8;79;1
01-06-2020;27,9;80;0
02-06-2020;28,4;80;0
03-06-2020;28,4;80;-
04-06-2020;27,6;85;1,7
05-06-2020;24,9;96;10,2
06-06-2020;26,3;78;39,3
07-06-2020;27,5;71;8888
08-06-2020;27,6;78;0
09-06-2020;27,7;79;-
10-06-2020;27,3;77;0
11-06-2020;28;80;0
12-06-2020;27,1;85;0
13-06-2020;26,9;84;4
14-06-2020;27,7;78;0
15-06-2020;28,3;77;0
16-06-2020;27,6;83;8888
17-06-2020;27,2;85;3,6
18-06-2020;26,6;88;3
19-06-2020;26,8;83;9,2
20-06-2020;27,1;88;3,6
21-06-2020;26,7;90;8888
22-06-2020;25,6;87;40,6
23-06-2020;26,4;83;82,4
24-06-2020;26,8;73;0,5
25-06-2020;27,7;76;0
26-06-2020;27,4;78;0
27-06-2020;27,1;74;-
28-06-2020;27,6;74;-
29-06-2020;27,9;78;0
30-06-2020;27,8;82;1,1
01-07-2020;27,6;84;0
02-07-2020;28,2;79;0
03-07-2020;27,9;79;0
04-07-2020;28,1;77;1
05-07-2020;28,4;80;0
06-07-2020;28,4;76;0
07-07-2020;27,3;84;0
08-07-2020;24,7;96;4,5
09-07-2020;25,8;87;74,8
10-07-2020;27,2;86;0
11-07-2020;26,2;89;0
12-07-2020;26;89;22,5
13-07-2020;26;86;16,6
14-07-2020;27,3;84;2,2
15-07-2020;27,4;81;-
16-07-2020;27,7;84;0
17-07-2020;27,6;89;2
18-07-2020;26,8;93;8,2
19-07-2020;26,7;90;3,5
20-07-2020;27,1;86;7,4
21-07-2020;27,4;90;0
22-07-2020;25,9;91;8,6
23-07-2020;26,6;86;134,6
24-07-2020;27;87;5,6
25-07-2020;25,6;96;8888
26-07-2020;26,4;84;28
27-07-2020;26,7;89;0,5
28-07-2020;26,1;94;8888
29-07-2020;26,9;84;3,6
30-07-2020;27,4;84;0,8
31-07-2020;26,9;79;0
01-08-2020;27;80;8,5
02-08-2020;27,1;76;0
03-08-2020;27,1;77;-
04-08-2020;26,2;82;72,5
05-08-2020;26,8;75;0,7
06-08-2020;27,5;81;-
07-08-2020;27,5;82;0
08-08-2020;27,7;77;0
09-08-2020;28,1;75;0
10-08-2020;28,2;70;0
11-08-2020;28,8;69;-
12-08-2020;28,6;75;0
13-08-2020;27,9;72;2,5
14-08-2020;28,4;73;0
15-08-2020;27,4;72;2,5
16-08-2020;26,6;86;8,2
17-08-2020;25,3;90;3
18-08-2020;26,6;85;6,7
19-08-2020;27,9;82;0
20-08-2020;27,8;82;-
21-08-2020;26,4;93;0
22-08-2020;25,8;91;29,5
23-08-2020;27,1;84;34
24-08-2020;27,7;85;0,7
25-08-2020;27,9;89;4
26-08-2020;26,4;94;8888
27-08-2020;27,1;85;13,6
28-08-2020;27;76;0
29-08-2020;27,7;76;-
30-08-2020;27,3;81;0
31-08-2020;27,2;86;2,1
01-09-2020;25,9;89;9,5
02-09-2020;27;84;48
03-09-2020;26,4;88;0,5
04-09-2020;25,6;94;35,1
05-09-2020;26,2;87;30,5
06-09-2020;27,3;79;11
07-09-2020;27,7;80;0
08-09-2020;27,5;86;1,2
09-09-2020;26,2;85;3,5
10-09-2020;24,9;90;235,2
11-09-2020;27,1;78;32,7
12-09-2020;27,2;76;5
13-09-2020;27,9;68;0,8
14-09-2020;28,2;74;0
15-09-2020;28,2;72;-
16-09-2020;27,7;74;0
17-09-2020;27,5;76;-
18-09-2020;26,5;84;0,3
19-09-2020;27,9;82;48
20-09-2020;27,7;85;0
21-09-2020;26,8;84;11,6
22-09-2020;28;76;2,2
23-09-2020;25,4;93;-
24-09-2020;26,5;84;131,2
